dataset_id,arxiv_id,status,file_size_kb,file_path
allenai/WildChat-4.8M,2405.01470,already_exists,13253.765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M_2405.01470.pdf
allenai/WildChat-4.8M,2409.03753,already_exists,11620.306640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M_2409.03753.pdf
allenai/WildChat-4.8M,2406.04770,already_exists,6533.341796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M_2406.04770.pdf
allenai/WildChat-4.8M,2406.08464,already_exists,3859.1044921875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M_2406.08464.pdf
allenai/WildChat-1M,2405.01470,already_exists,13253.765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-1M_2405.01470.pdf
allenai/WildChat-1M,2409.03753,already_exists,11620.306640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-1M_2409.03753.pdf
allenai/WildChat-1M,2406.13706,already_exists,540.291015625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-1M_2406.13706.pdf
FreedomIntelligence/medical-o1-reasoning-SFT,2412.18925,already_exists,1140.4912109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\FreedomIntelligence_medical-o1-reasoning-SFT_2412.18925.pdf
databricks/databricks-dolly-15k,2203.02155,already_exists,1755.2783203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\databricks_databricks-dolly-15k_2203.02155.pdf
cais/mmlu,2009.03300,already_exists,2026.3076171875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cais_mmlu_2009.03300.pdf
cais/mmlu,2005.00700,already_exists,1888.666015625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cais_mmlu_2005.00700.pdf
cais/mmlu,2005.14165,already_exists,6609.41796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cais_mmlu_2005.14165.pdf
cais/mmlu,2008.02275,already_exists,2789.4638671875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cais_mmlu_2008.02275.pdf
Idavidrein/gpqa,2311.12022,already_exists,602.6640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Idavidrein_gpqa_2311.12022.pdf
Open-Orca/OpenOrca,2306.02707,already_exists,1424.064453125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Open-Orca_OpenOrca_2306.02707.pdf
Open-Orca/OpenOrca,2301.13688,already_exists,878.220703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Open-Orca_OpenOrca_2301.13688.pdf
Open-Orca/OpenOrca,2302.13971,already_exists,709.537109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Open-Orca_OpenOrca_2302.13971.pdf
Tevatron/browsecomp-plus-corpus,2508.06600,already_exists,2349.0400390625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Tevatron_browsecomp-plus-corpus_2508.06600.pdf
neulab/CulturalGround,2508.07414,already_exists,7322.91015625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\neulab_CulturalGround_2508.07414.pdf
Tevatron/browsecomp-plus,2508.06600,already_exists,2349.0400390625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Tevatron_browsecomp-plus_2508.06600.pdf
hotpotqa/hotpot_qa,1809.09600,already_exists,2587.44140625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\hotpotqa_hotpot_qa_1809.09600.pdf
mandarjoshi/trivia_qa,1705.03551,already_exists,849.365234375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\mandarjoshi_trivia_qa_1705.03551.pdf
MathLLMs/MathVision,2501.12599,already_exists,904.3408203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\MathLLMs_MathVision_2501.12599.pdf
MathLLMs/MathVision,2402.14804,already_exists,20149.3759765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\MathLLMs_MathVision_2402.14804.pdf
gretelai/synthetic_text_to_sql,2306.05685,already_exists,1543.1064453125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\gretelai_synthetic_text_to_sql_2306.05685.pdf
allenai/WildChat-4.8M-Full,2405.01470,already_exists,13253.765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M-Full_2405.01470.pdf
allenai/WildChat-4.8M-Full,2409.03753,already_exists,11620.306640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M-Full_2409.03753.pdf
allenai/WildChat-4.8M-Full,2406.04770,already_exists,6533.341796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M-Full_2406.04770.pdf
allenai/WildChat-4.8M-Full,2406.08464,already_exists,3859.1044921875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat-4.8M-Full_2406.08464.pdf
vicgalle/alpaca-gpt4,2304.03277,already_exists,1539.9697265625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\vicgalle_alpaca-gpt4_2304.03277.pdf
b-mc2/sql-create-context,1809.08887,already_exists,872.236328125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\b-mc2_sql-create-context_1809.08887.pdf
allenai/WildChat,2405.01470,already_exists,13253.765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat_2405.01470.pdf
allenai/WildChat,2409.03753,already_exists,11620.306640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat_2409.03753.pdf
allenai/WildChat,2406.13706,already_exists,540.291015625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_WildChat_2406.13706.pdf
TIGER-Lab/MMLU-Pro,2406.01574,already_exists,937.03125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\TIGER-Lab_MMLU-Pro_2406.01574.pdf
Salesforce/xlam-function-calling-60k,2406.18518,already_exists,2043.1875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Salesforce_xlam-function-calling-60k_2406.18518.pdf
futurehouse/lab-bench,2407.10362,already_exists,9659.0595703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\futurehouse_lab-bench_2407.10362.pdf
nvidia/OpenMathReasoning,2504.16891,already_exists,956.650390625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nvidia_OpenMathReasoning_2504.16891.pdf
COREVQA2025/COREVQA,2507.13405,already_exists,1027.498046875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\COREVQA2025_COREVQA_2507.13405.pdf
UCSD26/medical_dialog,2004.03329,already_exists,311.9326171875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\UCSD26_medical_dialog_2004.03329.pdf
qiaojin/PubMedQA,1909.06146,already_exists,1029.828125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\qiaojin_PubMedQA_1909.06146.pdf
allenai/sciq,1707.06209,already_exists,454.7138671875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_sciq_1707.06209.pdf
google/xquad,1910.11856,already_exists,600.181640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\google_xquad_1910.11856.pdf
nguha/legalbench,2308.11462,already_exists,1176.5419921875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2308.11462.pdf
nguha/legalbench,2110.01799,already_exists,1079.4326171875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2110.01799.pdf
nguha/legalbench,2103.06268,already_exists,2732.533203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2103.06268.pdf
nguha/legalbench,2301.00876,already_exists,352.693359375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2301.00876.pdf
nguha/legalbench,1911.00841,already_exists,925.6845703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_1911.00841.pdf
