dataset_id,arxiv_id,abstract_url,pdf_url
allenai/WildChat-4.8M,2405.01470,https://arxiv.org/abs/2405.01470,https://arxiv.org/pdf/2405.01470.pdf
allenai/WildChat-4.8M,2409.03753,https://arxiv.org/abs/2409.03753,https://arxiv.org/pdf/2409.03753.pdf
allenai/WildChat-4.8M,2406.04770,https://arxiv.org/abs/2406.04770,https://arxiv.org/pdf/2406.04770.pdf
allenai/WildChat-4.8M,2406.08464,https://arxiv.org/abs/2406.08464,https://arxiv.org/pdf/2406.08464.pdf
allenai/WildChat-1M,2405.01470,https://arxiv.org/abs/2405.01470,https://arxiv.org/pdf/2405.01470.pdf
allenai/WildChat-1M,2409.03753,https://arxiv.org/abs/2409.03753,https://arxiv.org/pdf/2409.03753.pdf
allenai/WildChat-1M,2406.13706,https://arxiv.org/abs/2406.13706,https://arxiv.org/pdf/2406.13706.pdf
FreedomIntelligence/medical-o1-reasoning-SFT,2412.18925,https://arxiv.org/abs/2412.18925,https://arxiv.org/pdf/2412.18925.pdf
databricks/databricks-dolly-15k,2203.02155,https://arxiv.org/abs/2203.02155,https://arxiv.org/pdf/2203.02155.pdf
cais/mmlu,2009.03300,https://arxiv.org/abs/2009.03300,https://arxiv.org/pdf/2009.03300.pdf
cais/mmlu,2005.00700,https://arxiv.org/abs/2005.00700,https://arxiv.org/pdf/2005.00700.pdf
cais/mmlu,2005.14165,https://arxiv.org/abs/2005.14165,https://arxiv.org/pdf/2005.14165.pdf
cais/mmlu,2008.02275,https://arxiv.org/abs/2008.02275,https://arxiv.org/pdf/2008.02275.pdf
Idavidrein/gpqa,2311.12022,https://arxiv.org/abs/2311.12022,https://arxiv.org/pdf/2311.12022.pdf
Open-Orca/OpenOrca,2306.02707,https://arxiv.org/abs/2306.02707,https://arxiv.org/pdf/2306.02707.pdf
Open-Orca/OpenOrca,2301.13688,https://arxiv.org/abs/2301.13688,https://arxiv.org/pdf/2301.13688.pdf
Open-Orca/OpenOrca,2302.13971,https://arxiv.org/abs/2302.13971,https://arxiv.org/pdf/2302.13971.pdf
Tevatron/browsecomp-plus-corpus,2508.06600,https://arxiv.org/abs/2508.06600,https://arxiv.org/pdf/2508.06600.pdf
neulab/CulturalGround,2508.07414,https://arxiv.org/abs/2508.07414,https://arxiv.org/pdf/2508.07414.pdf
Tevatron/browsecomp-plus,2508.06600,https://arxiv.org/abs/2508.06600,https://arxiv.org/pdf/2508.06600.pdf
hotpotqa/hotpot_qa,1809.09600,https://arxiv.org/abs/1809.09600,https://arxiv.org/pdf/1809.09600.pdf
mandarjoshi/trivia_qa,1705.03551,https://arxiv.org/abs/1705.03551,https://arxiv.org/pdf/1705.03551.pdf
